,matching_id,pmid,title,journal,journal_short,year,month,day,section,subsection,role,predictprob,cancer_id,cancer_name,cancer_normalized,cancer_start,cancer_end,gene_hugo_id,gene_entrez_id,gene_name,gene_normalized,gene_start,gene_end,sentence,formatted_sentence
6928,8e390ed2997c32b925dba06cfbfc21cf,39092574,Emerging role of sirtuins in non-small cell lung cancer (Review),Oncology Reports,Oncology Reports,2024,7.0,30.0,article,introduction,Tumor_Suppressor,0.9499400973590392,DOID:3908,NSCLC,lung non-small cell carcinoma,18,23,HGNC:11998,7157,p53,TP53,71,74,"SIRT1 can promote NSCLC progression by inhibiting the tumor suppressor p53, reducing apoptosis and allowing cancer cell proliferation.","SIRT1 can promote <b>NSCLC</b> progression by inhibiting the tumor suppressor <b>p53</b>, reducing apoptosis and allowing cancer cell proliferation."
7719,920bee1be548a1382fbb721b2fc47b4a,39786467,Immune Checkpoint Blockade Delays Cancer Development and Extends Survival in DNA Polymerase Mutator Syndromes,Cancer Research,Cancer Research,2024,12.0,30.0,article,results,Oncogene,0.8284915379863791,DOID:3908,NSCLC,lung non-small cell carcinoma,29,34,HGNC:11998,7157,Trp53,TP53,98,103,"We utilized the KP model for NSCLC in which the oncogenic Kras G12D/+ allele is activated and the Trp53 tumor-suppressor gene is deleted, mediated by intranasal delivery of adeno-Cre virus.","We utilized the KP model for <b>NSCLC</b> in which the oncogenic Kras G12D/+ allele is activated and the <b>Trp53</b> tumor-suppressor gene is deleted, mediated by intranasal delivery of adeno-Cre virus."
7912,9eb6448e78c96c6cb8d5790569211d1a,40044674,CENPF cancer cells promote malignant progression of early-stage TP53 mutant lung adenocarcinoma,Oncogenesis,Oncogenesis,2025,12.0,5.0,article,results,Driver,0.8033391563891171,DOID:3910,LUAD,lung adenocarcinoma,49,53,HGNC:11998,7157,TP53,TP53,85,89,"TP53 mutations are widespread in tumors; ~40% of LUAD cases have TP53 mutations, and TP53 mutations are also reported to be the driving mutation events in the malignant progression of early-stage LUAD (AIS-MIA-IAC).","TP53 mutations are widespread in tumors; ~40% of <b>LUAD</b> cases have TP53 mutations, and <b>TP53</b> mutations are also reported to be the driving mutation events in the malignant progression of early-stage LUAD (AIS-MIA-IAC)."
8540,8e390ed2997c32b925dba06cfbfc21cf,39830995,Effects of Tp53 Gene Mutations on the Survival of Non-Small Cell Lung Cancer (NSCLC); A Short Review,Cancer Management and Research,Cancer Management and Research,2025,1.0,15.0,article,introduction,Tumor_Suppressor,0.9410266389729336,DOID:3908,NSCLC,lung non-small cell carcinoma,145,150,HGNC:11998,7157,TP53,TP53,73,77,The most extensively studied genetic alterations in pulmonary tumors are TP53-tumor suppressor gene (MIM#191170) happen in just around 50-55% of NSCLC and over 69% of SCLC.,The most extensively studied genetic alterations in pulmonary tumors are <b>TP53</b>-tumor suppressor gene (MIM#191170) happen in just around 50-55% of <b>NSCLC</b> and over 69% of SCLC.
9269,8e390ed2997c32b925dba06cfbfc21cf,38192254,"SP-8356: A Novel Verbenone Derivative Exerts In Vitro Anti-Non-Small Cell Lung Cancer Effects, PromotesApoptosis via The P53/MDM2 Axis and InhibitsTumor Formation in Mice",Cell Journal (Yakhteh),Cell Journal (Yakhteh),2023,12.0,31.0,article,introduction,Tumor_Suppressor,0.9569195498740556,DOID:3908,NSCLC,lung non-small cell carcinoma,103,108,HGNC:11998,7157,p53,TP53,0,3,"p53 is a tumor suppressor protein, frequently mutatedor inactivated in many types of cancer, including NSCLC.","<b>p53</b> is a tumor suppressor protein, frequently mutatedor inactivated in many types of cancer, including <b>NSCLC</b>."
10195,67be1f611ae3e80440a8fbd853cb83ae,37186518,Efficacy and Imaging-Enabled Pharmacodynamic Profiling of KRAS G12C Inhibitors in Xenograft and Genetically Engineered Mouse Models of Cancer,Molecular Cancer Therapeutics,Molecular Cancer Therapeutics,2023,5.0,15.0,article,introduction,Driver,0.8558998717541929,DOID:3908,NSCLC,lung non-small cell carcinoma,121,126,HGNC:11998,7157,p53,TP53,174,177,"To address the lack of G12C-specific GEMMs in cancer research, we engineered and characterized a knock-in mouse model of NSCLC driven by Cre-induced Kras G12C activation and p53 deletion (Kras LSL-G12C/wt p53 fl/fl), hereafter referred to as the G12C KP GEMM.","To address the lack of G12C-specific GEMMs in cancer research, we engineered and characterized a knock-in mouse model of <b>NSCLC</b> driven by Cre-induced Kras G12C activation and <b>p53</b> deletion (Kras LSL-G12C/wt p53 fl/fl), hereafter referred to as the G12C KP GEMM."
10243,9eb6448e78c96c6cb8d5790569211d1a,37398244,Live-cell invasive phenotyping uncovers the ALK2/BMP6 iron homeostasis pathway as a therapeutic vulnerability in LKB1-mutant lung cancer,bioRxiv,bioRxiv,2023,6.0,14.0,abstract,,Driver,0.8240619927559404,DOID:3910,lung adenocarcinoma (LUAD),lung adenocarcinoma,215,241,HGNC:11998,7157,TP53,TP53,185,189,"To address this, we designed an experimental system to screen for targetable signaling pathways linked to active early invasion phenotypes in the two most prominent molecular subtypes, TP53 and LKB1, of KRAS-driven lung adenocarcinoma (LUAD).","To address this, we designed an experimental system to screen for targetable signaling pathways linked to active early invasion phenotypes in the two most prominent molecular subtypes, <b>TP53</b> and LKB1, of KRAS-driven <b>lung adenocarcinoma (LUAD)</b>."
10516,9eb6448e78c96c6cb8d5790569211d1a,37131761,CRACD suppresses neuroendocrinal plasticity of lung adenocarcinoma,bioRxiv,bioRxiv,2023,4.0,21.0,article,results,Driver,0.9374295986115884,DOID:3910,LUAD,lung adenocarcinoma,39,43,HGNC:11998,7157,Trp53,TP53,68,73,Cracd KO induces NE cell plasticity in LUAD driven by Kras G12D and Trp53 KO,Cracd KO induces NE cell plasticity in <b>LUAD</b> driven by Kras G12D and <b>Trp53</b> KO
10663,8e390ed2997c32b925dba06cfbfc21cf,38510678,Bone metastasis in non-small-cell lung cancer: genomic characterization and exploration of potential targets,Therapeutic Advances in Medical Oncology,Therapeutic Advances in Medical Oncology,2024,3.0,19.0,article,discussion,Tumor_Suppressor,0.9377033728828444,DOID:3908,NSCLC,lung non-small cell carcinoma,104,109,HGNC:11998,7157,TP53,TP53,0,4,TP53 is a tumor suppressor gene that occurs in almost every type of malignancy and its mutation rate in NSCLC is about 36.6-56.1%.,<b>TP53</b> is a tumor suppressor gene that occurs in almost every type of malignancy and its mutation rate in <b>NSCLC</b> is about 36.6-56.1%.
11142,04dfa692c4072abbf6fcb9516f58ed16,35234540,Development and Validation of a Concise Prediction Scoring System forAsian Lung Cancer Patients with EGFR Mutation BeforeTreatment,Technology in Cancer Research & Treatment,Technology in Cancer Research & Treatment,2022,3.0,2.0,article,discussion,Tumor_Suppressor,0.9919652899223836,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,61,80,HGNC:11998,7157,TP53,TP53,0,4,"TP53, as a tumor suppressor gene,is frequently identified in lung adenocarcinoma and is associated with a poorprognosis of patients with non-small cell lung cancer (NSCLC).","<b>TP53</b>, as a tumor suppressor gene,is frequently identified in <b>lung adenocarcinoma</b> and is associated with a poorprognosis of patients with non-small cell lung cancer (NSCLC)."
11143,8e390ed2997c32b925dba06cfbfc21cf,35234540,Development and Validation of a Concise Prediction Scoring System forAsian Lung Cancer Patients with EGFR Mutation BeforeTreatment,Technology in Cancer Research & Treatment,Technology in Cancer Research & Treatment,2022,3.0,2.0,article,discussion,Tumor_Suppressor,0.9825996586347144,DOID:3908,non-small cell lung cancer (NSCLC),lung non-small cell carcinoma,137,171,HGNC:11998,7157,TP53,TP53,0,4,"TP53, as a tumor suppressor gene,is frequently identified in lung adenocarcinoma and is associated with a poorprognosis of patients with non-small cell lung cancer (NSCLC).","<b>TP53</b>, as a tumor suppressor gene,is frequently identified in lung adenocarcinoma and is associated with a poorprognosis of patients with <b>non-small cell lung cancer (NSCLC)</b>."
11190,920bee1be548a1382fbb721b2fc47b4a,35282067,Identification of a seven-gene prognostic signature using the gene expression profile of osteosarcoma,Annals of Translational Medicine,Annals of Translational Medicine,2022,1.0,,article,discussion,Oncogene,0.7653646018186439,DOID:3908,non-small cell lung cancer,lung non-small cell carcinoma,281,307,HGNC:11998,7157,p53,TP53,191,194,"PHB is an adriamycin resistance-associated gene that can suppress the proliferation of human osteosarcoma MG-63 cells through the interaction with oncogenes or tumor suppressor genes, c-fos, p53, c-myc, and Rb. MYO6, which is highly expressed in cancers such as colorectal cancer, non-small cell lung cancer, stomach cancer, and prostate cancer, is regarded as an oncogene.","PHB is an adriamycin resistance-associated gene that can suppress the proliferation of human osteosarcoma MG-63 cells through the interaction with oncogenes or tumor suppressor genes, c-fos, <b>p53</b>, c-myc, and Rb. MYO6, which is highly expressed in cancers such as colorectal cancer, <b>non-small cell lung cancer</b>, stomach cancer, and prostate cancer, is regarded as an oncogene."
11228,04dfa692c4072abbf6fcb9516f58ed16,35110400,Loss of TET reprograms Wnt signaling through impaired demethylation to promote lung cancer development,Proceedings of the National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences of...,2022,2.0,2.0,article,,Tumor_Suppressor,0.9298191488941804,DOID:3910,LUAD,lung adenocarcinoma,44,48,HGNC:11998,7157,TP53,TP53,113,117,"The most commonly mutated genes harbored in LUAD include protooncogenes KRAS and EGFR and tumor suppressor genes TP53, KEAP1, and STK11 ().","The most commonly mutated genes harbored in <b>LUAD</b> include protooncogenes KRAS and EGFR and tumor suppressor genes <b>TP53</b>, KEAP1, and STK11 ()."
12912,920bee1be548a1382fbb721b2fc47b4a,34192651,TP53 mutations in circulating tumor DNA in advanced epidermal growth factor receptor-mutant lung adenocarcinoma patients treated with gefitinib,Translational Oncology,Translational Oncology,2021,6.0,27.0,abstract,,Oncogene,0.8714928565295236,DOID:3908,non-small cell lung cancer,lung non-small cell carcinoma,109,135,HGNC:11998,7157,Tumor protein p53 (TP53),TP53,0,24,Tumor protein p53 (TP53) is a tumor suppressor gene and TP53 mutations are associated with poor prognosis in non-small cell lung cancer.,<b>Tumor protein p53 (TP53)</b> is a tumor suppressor gene and TP53 mutations are associated with poor prognosis in <b>non-small cell lung cancer</b>.
13303,8e390ed2997c32b925dba06cfbfc21cf,33987243,A computed tomography (CT)-derived radiomics approach for predicting primary co-mutations involving TP53 and epidermal growth factor receptor (EGFR) in patients with advanced lung adenocarcinomas (LUAD),Annals of Translational Medicine,Annals of Translational Medicine,2021,4.0,,article,introduction,Tumor_Suppressor,0.9430680262157028,DOID:3908,NSCLC,lung non-small cell carcinoma,158,163,HGNC:11998,7157,TP53,TP53,0,4,"TP53, encoding the p53 protein known as a tumor suppressor gene in preventing and suppressing of abnormal cell growth, is the most frequently mutated gene in NSCLC, with mutation rates up to approximately 40% in lung adenocarcinoma (LUAD).","<b>TP53</b>, encoding the p53 protein known as a tumor suppressor gene in preventing and suppressing of abnormal cell growth, is the most frequently mutated gene in <b>NSCLC</b>, with mutation rates up to approximately 40% in lung adenocarcinoma (LUAD)."
13304,04dfa692c4072abbf6fcb9516f58ed16,33987243,A computed tomography (CT)-derived radiomics approach for predicting primary co-mutations involving TP53 and epidermal growth factor receptor (EGFR) in patients with advanced lung adenocarcinomas (LUAD),Annals of Translational Medicine,Annals of Translational Medicine,2021,4.0,,article,introduction,Tumor_Suppressor,0.9222388004168128,DOID:3910,lung adenocarcinoma (LUAD),lung adenocarcinoma,212,238,HGNC:11998,7157,TP53,TP53,0,4,"TP53, encoding the p53 protein known as a tumor suppressor gene in preventing and suppressing of abnormal cell growth, is the most frequently mutated gene in NSCLC, with mutation rates up to approximately 40% in lung adenocarcinoma (LUAD).","<b>TP53</b>, encoding the p53 protein known as a tumor suppressor gene in preventing and suppressing of abnormal cell growth, is the most frequently mutated gene in NSCLC, with mutation rates up to approximately 40% in <b>lung adenocarcinoma (LUAD)</b>."
13780,9eb6448e78c96c6cb8d5790569211d1a,33776467,The Binary Classification of Protein Kinases,Journal of Inflammation Research,Journal of Inflammation Research,2021,3.0,18.0,article,discussion,Driver,0.9678459285090564,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,126,145,HGNC:11998,7157,p53,TP53,174,177,"The combination of momelotinib, a JAK1/2 and TBK1 inhibitor, with a MEK inhibitor, induced regression of an aggressive murine lung adenocarcinoma driven by KRAS mutation and p53 loss.","The combination of momelotinib, a JAK1/2 and TBK1 inhibitor, with a MEK inhibitor, induced regression of an aggressive murine <b>lung adenocarcinoma</b> driven by KRAS mutation and <b>p53</b> loss."
14078,920bee1be548a1382fbb721b2fc47b4a,33597218,Real-world survival outcomes with immune checkpoint inhibitors in large-cell neuroendocrine tumors of lung,Journal for Immunotherapy of Cancer,Journal for Immunotherapy of Cancer,2021,2.0,17.0,article,background,Oncogene,0.7989306492404317,DOID:3908,NSCLC,lung non-small cell carcinoma,182,187,HGNC:11998,7157,tumor protein p53 (TP53),TP53,101,125,"From a molecular perspective, LCNEC can be further classified as SCLC-like subtype (characterized by tumor protein p53 (TP53) and Retinoblastoma gene-1 (RB1) comutations or loss) or NSCLC-like subtype (characterized by lack of TP53 +RB1 alterations and presence of mutations in the Kirsten rat sarcoma viral oncogene homolog, serine/threonine kinase 11, and Kelch-like ECH-associated protein 1 genes); LCNEC molecular subtype may affect response to systemic therapy.","From a molecular perspective, LCNEC can be further classified as SCLC-like subtype (characterized by <b>tumor protein p53 (TP53)</b> and Retinoblastoma gene-1 (RB1) comutations or loss) or <b>NSCLC</b>-like subtype (characterized by lack of TP53 +RB1 alterations and presence of mutations in the Kirsten rat sarcoma viral oncogene homolog, serine/threonine kinase 11, and Kelch-like ECH-associated protein 1 genes); LCNEC molecular subtype may affect response to systemic therapy."
14116,8e390ed2997c32b925dba06cfbfc21cf,33664821,The emerging role of estrogen related receptorα in complications of non-small cell lung cancers,Oncology Letters,Oncology Letters,2021,2.0,4.0,article,introduction,Tumor_Suppressor,0.9280349766685604,DOID:3908,NSCLC,lung non-small cell carcinoma,68,73,HGNC:11998,7157,p53,TP53,126,129,"These in vitro cell culture-based observations suggest that in A549 NSCLC cells, ERRα decreases the tumor suppressor proteins p53 and pRB expression by effecting mitochondrial physiology and quenching ROS generation resulting in unopposed cell-cycle progression (Figs. 3A and 4A).","These in vitro cell culture-based observations suggest that in A549 <b>NSCLC</b> cells, ERRα decreases the tumor suppressor proteins <b>p53</b> and pRB expression by effecting mitochondrial physiology and quenching ROS generation resulting in unopposed cell-cycle progression (Figs. 3A and 4A)."
14200,67be1f611ae3e80440a8fbd853cb83ae,33650655,Nucleolar and spindle-associated protein 1 promotes non-small cell lung cancer progression and serves as an effector of myocyte enhancer factor 2D,Oncology Reports,Oncology Reports,2020,12.0,30.0,article,discussion,Driver,0.8339516776660555,DOID:3908,NSCLC,lung non-small cell carcinoma,42,47,HGNC:11998,7157,p53,TP53,28,31,"In addition, whether mutant p53 may drive NSCLC progression by directly regulating MEF2D requires further confirmation.","In addition, whether mutant <b>p53</b> may drive <b>NSCLC</b> progression by directly regulating MEF2D requires further confirmation."
14403,049dada8bbfbcfb74c039557665c712a,28276311,Overexpression of T-box Transcription Factor 5 (TBX5) Inhibits Proliferation and Invasion in Non-Small Cell Lung Carcinoma Cells,Oncology Research,Oncology Research,2017,11.0,2.0,article,discussion,Tumor_Suppressor,0.958570176265645,DOID:3908,NSCLC,lung non-small cell carcinoma,139,144,HGNC:11604,6910,TBX5,TBX5,34,38,"In this study, we have identified TBX5, which regulates tumor cell proliferation, migration, and apoptosis, as a novel tumor suppressor in NSCLC.","In this study, we have identified <b>TBX5</b>, which regulates tumor cell proliferation, migration, and apoptosis, as a novel tumor suppressor in <b>NSCLC</b>."
14404,049dada8bbfbcfb74c039557665c712a,28276311,Overexpression of T-box Transcription Factor 5 (TBX5) Inhibits Proliferation and Invasion in Non-Small Cell Lung Carcinoma Cells,Oncology Research,Oncology Research,2017,11.0,2.0,article,discussion,Tumor_Suppressor,0.9436333968310088,DOID:3908,NSCLC,lung non-small cell carcinoma,108,113,HGNC:11604,6910,TBX5,TBX5,41,45,"In conclusion, our study showed that the TBX5 transcription factor is an important tumor suppressor gene in NSCLC.","In conclusion, our study showed that the <b>TBX5</b> transcription factor is an important tumor suppressor gene in <b>NSCLC</b>."
14904,9eb6448e78c96c6cb8d5790569211d1a,33601412,Tumor-infiltrating dendritic cell states are conserved across solid human cancers,The Journal of Experimental Medicine,The Journal of Experimental Medicine,2020,12.0,18.0,article,introduction,Driver,0.8765472391113014,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,115,134,HGNC:11998,7157,Tp53,TP53,173,177,"3, A and B, that are also conserved between mouse tumor-infiltrating DC states, based on data obtained in a murine lung adenocarcinoma model driven by Kras G12D and loss of Tp53.","3, A and B, that are also conserved between mouse tumor-infiltrating DC states, based on data obtained in a murine <b>lung adenocarcinoma</b> model driven by Kras G12D and loss of <b>Tp53</b>."
15368,8e390ed2997c32b925dba06cfbfc21cf,32926529,HAX1 enhances the survival and metastasis of non-small cell lung cancer through the AKT / mTOR and MDM2 /p53 signaling pathway,Thoracic Cancer,Thoracic Cancer,2020,11.0,14.0,article,discussion,Tumor_Suppressor,0.991199255496846,DOID:3908,NSCLC,lung non-small cell carcinoma,77,82,HGNC:11998,7157,P53,TP53,31,34,"It has also been reported that P53, a famous tumor suppressor gene, inhibits NSCLC cell proliferation, invasion and epithelial-mesenchymal transition., 47 AKT also regulates the tumor characteristics of tumor by MDM2/p53 signal pathway.","It has also been reported that <b>P53</b>, a famous tumor suppressor gene, inhibits <b>NSCLC</b> cell proliferation, invasion and epithelial-mesenchymal transition., 47 AKT also regulates the tumor characteristics of tumor by MDM2/p53 signal pathway."
15410,b1dbfeb2a92ae52f1ba0e486ee199f80,33125117,Hesperidin administration suppresses the proliferation of lung cancer cells by promoting apoptosis via targeting the miR-132/ZEB2 signalling pathway,International Journal of Molecular Medicine,International Journal of Molecular Medicine,2020,10.0,14.0,article,introduction,Oncogene,0.981297601136256,DOID:3908,NSCLC,lung non-small cell carcinoma,61,66,HGNC:14881,9839,ZEB2,ZEB2,30,34,These findings indicated that ZEB2 may act as an oncogene in NSCLC.,These findings indicated that <b>ZEB2</b> may act as an oncogene in <b>NSCLC</b>.
16541,adcea0f8ce5b3e86fcb05bdf2e7e9715,32535612,Prediction of MiR-21-5p in Promoting the Development of Lung Adenocarcinoma via PDZD2 Regulation,Medical Science Monitor : International Medical Journal of Experimental and Clinical Research,Medical Science Monitor : International Medical Jo...,2020,4.0,24.0,article,discussion,Tumor_Suppressor,0.9775377164855348,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,203,222,HGNC:18486,23037,PDZD2,PDZD2,162,167,"In this study, we have analyzed a large cohort of tissue sample data and found that PDZD2 was under expressed in lung adenocarcinoma tissue, which suggested that PDZD2 might act as a tumor suppressor in lung adenocarcinoma.","In this study, we have analyzed a large cohort of tissue sample data and found that PDZD2 was under expressed in lung adenocarcinoma tissue, which suggested that <b>PDZD2</b> might act as a tumor suppressor in <b>lung adenocarcinoma</b>."
